#	start	end	score	density
1	1	17	5.0	0.184
2	18	32	8.0	0.833
3	33	44	9.0	0.906
4	45	69	10.0	0.931
5	70	77	9.0	1.326
6	78	83	6.0	1.248
7	84	92	7.0	1.216
8	93	97	9.0	0.914
9	98	105	4.0	0.906
10	106	110	4.0	0.516
11	111	115	4.0	0.889
12	116	120	4.0	0.829
13	121	128	9.0	1.053
14	129	135	7.0	1.172
15	136	163	10.0	1.101
16	164	173	9.0	1.177
17	174	179	7.0	1.196
18	180	192	8.0	1.204
19	193	208	10.0	1.193
20	209	216	6.0	1.262
21	217	241	10.0	1.067
22	242	246	10.0	1.216
23	247	260	5.0	1.163
24	261	265	7.0	1.32
25	266	270	7.0	0.995
26	271	275	10.0	0.983
27	276	286	10.0	1.157
28	287	291	10.0	1.443
29	292	306	10.0	1.137
30	307	336	8.0	1.156
31	337	352	8.0	1.111
32	353	361	10.0	1.339
33	362	379	10.0	1.078
34	380	408	10.0	1.101
35	409	413	10.0	0.993
36	414	444	10.0	1.178
37	445	457	10.0	1.111
38	458	544	10.0	1.185
39	545	550	10.0	1.049
40	551	588	10.0	1.11
41	589	605	5.0	1.239
42	606	621	10.0	1.141
43	622	647	10.0	1.117
44	648	653	5.0	1.129
45	654	677	10.0	1.078
46	678	682	6.0	1.463
47	683	690	10.0	1.091
48	691	699	10.0	1.217
49	700	709	10.0	1.128
50	710	731	10.0	1.085
51	732	736	10.0	1.016
52	737	867	10.0	1.176
53	868	882	10.0	1.001
54	883	964	6.0	1.004
55	965	972	8.0	0.875
56	973	978	7.0	0.854
57	979	1006	10.0	1.01
58	1007	1016	10.0	1.059
59	1017	1110	10.0	0.233
60	1111	1137	10.0	1.142
61	1138	1142	10.0	1.307
62	1143	1179	10.0	1.126
63	1180	1186	6.0	1.111
64	1187	1191	5.0	1.125
65	1192	1200	10.0	1.15
66	1201	1210	10.0	1.186
67	1211	1224	8.0	1.24
68	1225	1231	8.0	1.487
69	1232	1238	10.0	1.496
70	1239	1243	10.0	1.649
71	1244	1253	10.0	1.292
72	1254	1270	8.0	1.25
73	1271	1280	4.0	1.304
74	1281	1291	7.0	0.831
75	1292	1301	3.0	1.222
76	1302	1308	5.0	0.742
77	1309	1314	7.0	2.074
78	1315	1322	5.0	1.26
79	1323	1331	5.0	1.306
80	1332	1336	10.0	1.156
81	1337	1342	6.0	1.519
82	1343	1351	5.0	0.515
83	1352	1357	10.0	1.019
84	1358	1362	7.0	1.136
85	1363	1371	10.0	0.796
86	1372	1376	7.0	1.128
87	1377	1390	7.0	1.093
88	1391	1399	5.0	0.52
89	1400	1405	10.0	0.998
90	1406	1426	6.0	1.206
91	1427	1431	6.0	1.564
92	1432	1444	7.0	1.195
93	1445	1449	4.0	1.254
94	1450	1460	8.0	1.095
95	1461	1473	7.0	1.113
96	1474	1487	9.0	1.127
97	1488	1492	10.0	1.066
98	1493	1500	10.0	1.416
99	1501	1505	8.0	1.146
100	1506	1528	10.0	1.112
101	1529	1536	10.0	1.25
102	1537	1547	10.0	0.969
103	1548	1566	10.0	1.025
104	1567	1581	7.0	1.142
105	1582	1648	10.0	1.177
106	1649	1671	10.0	1.018
107	1672	1688	6.0	1.137
108	1689	1706	10.0	1.129
109	1707	1732	10.0	1.105
110	1733	1741	10.0	1.15
111	1742	1776	10.0	1.064
112	1777	1788	7.0	1.092
113	1789	1799	10.0	0.92
114	1800	1853	10.0	1.211
115	1854	1870	6.0	1.079
116	1871	1885	10.0	1.082
117	1886	1897	10.0	1.093
118	1898	1910	7.0	1.16
119	1911	1923	10.0	1.076
120	1924	2009	10.0	1.137
121	2010	2016	6.0	1.105
122	2017	2026	10.0	1.081
123	2027	2034	6.0	1.143
124	2035	2051	10.0	1.112
125	2052	2060	9.0	1.097
126	2061	2071	10.0	1.128
127	2072	2081	8.0	1.087
128	2082	2119	10.0	1.086
129	2120	2142	10.0	1.116
130	2143	2148	5.0	0.964
131	2149	2156	9.0	1.105
132	2157	2171	10.0	1.098
133	2172	2196	10.0	1.113
134	2197	2206	10.0	1.135
135	2207	2228	6.0	1.189
136	2229	2235	10.0	1.181
137	2236	2242	3.0	1.098
138	2243	2263	8.0	1.142
139	2264	2273	9.0	1.145
140	2274	2283	10.0	1.12
141	2284	2332	10.0	1.17
142	2333	2342	10.0	1.145
143	2343	2360	10.0	1.202
144	2361	2370	7.0	1.378
145	2371	2378	7.0	1.45
146	2379	2384	8.0	1.372
147	2385	2402	9.0	1.228
148	2403	2407	10.0	0.995
149	2408	2422	10.0	1.167
150	2423	2449	10.0	1.029
151	2450	2459	10.0	1.171
152	2460	2469	10.0	1.248
153	2470	2490	10.0	1.12
154	2491	2495	10.0	1.403
155	2496	2507	8.0	1.174
156	2508	2515	10.0	1.001
157	2516	2523	5.0	1.359
158	2524	2560	10.0	1.167
159	2561	2575	10.0	1.257
160	2576	2584	7.0	1.105
161	2585	2593	9.0	1.21
162	2594	2601	10.0	1.277
163	2602	2606	9.0	1.125
164	2607	2616	10.0	1.375
165	2617	2675	8.0	1.264
166	2676	2682	10.0	1.159
167	2683	2701	10.0	1.122
