#	start	end	score	density
1	1	15	6.0	4.802
2	16	37	10.0	3.399
3	38	60	8.0	2.81
4	61	65	10.0	2.633
5	66	71	4.0	1.478
6	72	89	10.0	1.381
7	90	103	10.0	1.677
8	104	125	10.0	0.875
9	126	172	10.0	0.688
10	173	185	10.0	1.095
11	186	207	10.0	1.066
12	208	212	10.0	1.117
13	213	221	9.0	1.152
14	222	229	5.0	1.192
15	230	239	4.0	1.396
16	240	244	6.0	1.067
17	245	252	6.0	0.857
18	253	259	7.0	0.784
19	260	280	10.0	0.866
20	281	288	5.0	0.732
21	289	296	5.0	0.991
22	297	317	3.0	1.074
23	318	327	7.0	1.78
24	328	376	9.0	1.107
25	377	381	6.0	1.797
26	382	391	6.0	0.957
27	392	398	10.0	0.891
28	399	409	6.0	0.995
29	410	415	10.0	1.262
30	416	423	9.0	1.13
31	424	428	5.0	0.877
32	429	439	3.0	1.119
33	440	444	5.0	0.976
34	445	449	6.0	1.088
35	450	454	10.0	0.448
36	455	461	5.0	0.824
37	462	470	9.0	1.035
38	471	475	10.0	1.172
39	476	481	8.0	1.125
40	482	491	10.0	0.919
41	492	505	10.0	0.981
42	506	543	10.0	1.051
43	544	550	10.0	1.258
44	551	565	10.0	1.272
45	566	619	6.0	2.124
46	620	630	10.0	1.768
47	631	639	7.0	1.132
48	640	675	10.0	0.885
49	676	681	10.0	0.2
50	682	701	5.0	1.151
51	702	706	10.0	1.233
52	707	934	10.0	0.005
53	935	939	10.0	0.759
54	940	965	10.0	0.817
55	966	973	9.0	0.882
56	974	988	7.0	0.866
57	989	1000	10.0	1.286
58	1001	1017	10.0	0.962
59	1018	1061	10.0	0.798
60	1062	1071	10.0	0.731
61	1072	1109	10.0	0.797
62	1110	1118	9.0	0.856
63	1119	1127	7.0	0.623
64	1128	1176	10.0	0.976
65	1177	1267	9.0	0.71
66	1268	1328	10.0	0.72
67	1329	1417	8.0	1.073
68	1418	1431	7.0	0.609
69	1432	1443	8.0	0.835
70	1444	1487	10.0	0.749
71	1488	1514	10.0	0.86
72	1515	1545	10.0	0.786
73	1546	1563	10.0	0.864
74	1564	1620	10.0	0.746
75	1621	1638	10.0	0.629
76	1639	1646	6.0	0.412
77	1647	1679	10.0	0.533
78	1680	1702	9.0	0.736
79	1703	1716	10.0	1.2
80	1717	1721	9.0	0.688
81	1722	1732	10.0	0.864
82	1733	1747	10.0	1.004
83	1748	1759	8.0	1.129
84	1760	1773	4.0	1.823
85	1774	1778	4.0	1.825
86	1779	1786	7.0	2.14
87	1787	1795	4.0	1.286
88	1796	1801	8.0	2.115
89	1802	1808	10.0	0.757
