# EV_1 (36.7357)	EV_2 (8.6225)	EV_3 (4.8252)
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
-0.019639542774235266	-0.017427002015251967	0.028910904340078442
-0.023120884631811334	-0.01928370588326508	0.018838225791045788
-0.0167348778035048	-0.028737753377514406	0.022801788336441
-0.005764998431457479	-0.023209240353058453	-0.004177141637023018
0.01067918341408974	-0.013991785683266094	-0.00807339831258984
0.010099901762358745	-0.012248396288100462	-0.024888459849672757
-0.003934089426515679	-0.004382684854991158	-0.018048110609608266
-0.01716929601866364	-0.004068132364901296	-0.03986014298345786
nan	nan	nan
-0.030871670949829955	-0.006181089233675795	-0.05685801253405615
-0.04435544064838837	-0.017863698171939234	-0.0363558319343769
-0.05494968016112596	-0.013184797356458788	-0.047206803140063806
-0.05646821390900218	-0.019294585246836186	-0.06911613720483728
-0.04863997039892322	-0.012497647354208772	-0.0873609524110433
-0.04937522235044556	-0.01963551112057231	-0.07988841548123554
-0.04687871869664936	-0.020947486735901924	-0.07118564639125
-0.059505672499132876	-0.017240641349970602	-0.07252287788002916
-0.05098100256935152	-0.018960047777086875	-0.07254836543132448
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
-0.056049015941852263	-0.009846732749723072	-0.06713363954758117
-0.04521166772303223	-0.00576558158598553	-0.04699895634658596
-0.05020004029068332	0.0023072750939932725	-0.04215779240164864
-0.04289990232370639	-0.0068442288576031065	-0.038238570543216166
-0.053175963987105966	-0.010223556365762746	-0.053731706666611354
-0.05823258004478482	-0.008800122644596627	-0.0695805607635625
-0.06370236760610677	-0.002343041167184763	-0.07936436319473486
-0.0539913746114973	-0.0014382487850108914	-0.08578478964969802
-0.05752305953494908	-0.004438724630347005	-0.10065230157473651
-0.05901780521856159	-0.0006549965114175077	-0.10294528654092713
-0.056108672129896564	-0.00563150135409374	-0.08039827389676191
-0.05121815892998362	-0.01201550642888794	-0.04948697781594889
-0.04142307063293726	0.0036393918806251115	-0.048751503288697685
-0.030375828158157772	0.02450113723127743	-0.06286460788299596
-0.009886070716621573	0.010536283809194065	-0.06781705367876097
-0.0036599581017330834	0.013647397660130817	-0.06590063763437265
-0.009348459050232141	0.008218073375130362	-0.06564148618821629
-0.01039844572609358	0.0194620111202259	-0.07942493530755187
-0.007122664242924772	0.017111131406335457	-0.08885015653174291
0.004993330929223795	0.0034875785447218786	-0.07852977221050221
0.011315466567728244	-0.014588661433808322	-0.04542676047202687
0.013503860272586843	-0.015979182622112766	-0.04054067297827871
0.010448656692903735	-0.004029098058909979	-0.049295097789755396
0.005424089009578638	0.012242115613968143	-0.07171805331506967
0.006377455968510533	0.0058502121609329775	-0.0526676124084671
0.007262313537413586	-0.007890089923271226	-0.02665187063011984
0.01830016704879329	-0.0007426132314861622	-0.03455990166585144
0.029924928659598768	0.0025100614769376643	-0.04878502734327153
0.03068063801527757	0.021644097490683977	-0.06377218816102681
0.011933694332440854	0.027020651283038013	-0.05523418264138865
-0.018190368859090873	0.015818673081322045	-0.06601138666040748
-0.04463838094318579	-0.0011013606944643092	-0.05828526765332933
-0.05940058577901253	-0.012391737743533804	-0.07930709277943188
-0.06319070628901159	-0.009581937094542858	-0.10369447860485112
-0.06715788681613467	-0.0026432180415968433	-0.12314892429864249
-0.06957192678129154	-0.0004765952907802439	-0.10755385164621686
-0.06862488569836757	0.002656254059498306	-0.08708453452346551
-0.06907407477049977	0.007338771789757618	-0.09359305148412685
-0.07338903792849918	0.011270041133962103	-0.0981394762704426
-0.07536319042777903	0.01266934492759298	-0.1256626850806131
-0.06655340001618973	0.0035010854512734922	-0.12582058915429
-0.05338796337460114	-0.00216818343878963	-0.09725334983867243
