#	start	end	score	density
1	1	5	3.0	0.82
2	6	12	4.0	1.39
3	13	22	9.0	1.263
4	23	31	3.0	1.338
5	32	57	10.0	1.415
6	58	63	6.0	1.226
7	64	97	10.0	1.322
8	98	109	5.0	1.39
9	110	114	3.0	1.467
10	115	119	6.0	1.422
11	120	129	9.0	1.602
12	130	151	7.0	1.109
13	152	156	3.0	1.376
14	157	187	10.0	1.072
15	188	227	7.0	1.114
16	228	237	6.0	1.28
17	238	243	5.0	1.683
18	244	264	5.0	1.394
19	265	269	1.0	2.122
20	270	274	2.0	1.362
21	275	290	9.0	1.212
22	291	298	4.0	1.101
23	299	304	3.0	1.353
24	305	309	8.0	1.385
25	310	318	7.0	1.416
26	319	337	10.0	1.195
27	338	351	3.0	1.191
28	352	372	6.0	0.52
29	373	379	10.0	0.843
30	380	423	9.0	0.998
31	424	434	2.0	0.947
32	435	439	4.0	1.215
33	440	445	10.0	0.915
34	446	468	9.0	1.023
35	469	497	8.0	1.109
36	498	508	6.0	1.317
37	509	520	10.0	0.934
38	521	532	5.0	1.184
39	533	553	8.0	1.124
40	554	574	7.0	1.128
41	575	595	5.0	1.275
42	596	619	6.0	1.177
43	620	642	10.0	1.359
44	643	647	3.0	1.523
45	648	653	6.0	1.083
46	654	669	6.0	1.126
47	670	699	10.0	1.034
48	700	718	10.0	1.413
49	719	763	5.0	1.148
50	764	772	5.0	1.003
51	773	780	10.0	0.599
52	781	851	10.0	0.012
53	852	866	6.0	0.824
54	867	873	3.0	1.93
55	874	882	7.0	1.33
56	883	909	7.0	1.317
57	910	923	3.0	1.23
58	924	943	9.0	0.114
59	944	968	5.0	0.13
60	969	974	8.0	1.895
61	975	995	4.0	0.321
62	996	1016	7.0	1.583
63	1017	1023	6.0	1.755
64	1024	1041	6.0	0.102
65	1042	1054	7.0	0.894
66	1055	1080	5.0	0.954
67	1081	1091	10.0	1.116
68	1092	1198	10.0	1.044
69	1199	1203	5.0	0.882
70	1204	1229	4.0	1.01
71	1230	1237	10.0	0.941
72	1238	1251	6.0	0.984
73	1252	1273	3.0	0.918
74	1274	1278	3.0	0.878
75	1279	1285	4.0	0.834
76	1286	1298	10.0	1.226
77	1299	1312	6.0	1.432
78	1313	1391	9.0	1.072
79	1392	1402	8.0	1.501
80	1403	1415	8.0	1.843
81	1416	1430	3.0	1.638
82	1431	1439	4.0	1.752
83	1440	1444	8.0	2.038
84	1445	1453	7.0	2.087
85	1454	1461	10.0	1.694
86	1462	1472	4.0	1.881
87	1473	1482	10.0	1.428
88	1483	1499	6.0	1.388
89	1500	1510	6.0	1.62
90	1511	1518	5.0	1.568
91	1519	1540	6.0	1.413
92	1541	1578	10.0	1.26
93	1579	1590	6.0	1.214
94	1591	1596	10.0	1.813
95	1597	1625	3.0	1.438
96	1626	1641	10.0	1.604
97	1642	1647	6.0	1.214
98	1648	1718	7.0	1.0
99	1719	1727	6.0	1.205
100	1728	1763	10.0	1.129
101	1764	1779	6.0	1.77
102	1780	1785	6.0	1.602
103	1786	1791	3.0	1.175
104	1792	1807	3.0	0.942
105	1808	1814	4.0	0.925
106	1815	1820	3.0	0.859
107	1821	1830	10.0	1.038
108	1831	1852	5.0	0.955
109	1853	1875	7.0	0.976
110	1876	1886	4.0	1.558
111	1887	1909	6.0	1.279
112	1910	1927	10.0	1.011
113	1928	1939	5.0	1.037
114	1940	1954	5.0	1.107
115	1955	1962	10.0	0.962
116	1963	1983	5.0	1.355
117	1984	1990	5.0	2.15
118	1991	1998	6.0	1.555
119	1999	2003	7.0	0.881
120	2004	2022	9.0	0.827
121	2023	2031	5.0	0.86
122	2032	2041	10.0	1.142
123	2042	2056	8.0	1.29
124	2057	2072	7.0	1.155
125	2073	2077	6.0	1.235
126	2078	2088	7.0	1.189
127	2089	2107	8.0	1.152
128	2108	2113	6.0	1.323
129	2114	2122	7.0	0.806
130	2123	2135	5.0	0.599
131	2136	2233	10.0	0.67
132	2234	2241	8.0	0.618
133	2242	2248	8.0	0.896
134	2249	2284	10.0	0.585
135	2285	2308	7.0	0.69
136	2309	2319	5.0	0.761
137	2320	2324	4.0	0.7
138	2325	2332	9.0	0.715
139	2333	2338	8.0	0.524
140	2339	2366	7.0	0.643
141	2367	2379	7.0	0.801
142	2380	2384	6.0	0.8
143	2385	2406	9.0	0.789
144	2407	2418	5.0	0.81
145	2419	2426	10.0	1.536
146	2427	2433	5.0	0.971
147	2434	2452	10.0	0.695
148	2453	2474	6.0	0.748
149	2475	2479	4.0	0.802
150	2480	2486	3.0	0.714
151	2487	2495	8.0	0.73
152	2496	2507	9.0	0.688
153	2508	2514	10.0	0.798
154	2515	2523	4.0	1.05
155	2524	2532	3.0	1.221
156	2533	2550	7.0	0.771
157	2551	2573	6.0	0.689
158	2574	2588	2.0	0.556
159	2589	2593	6.0	0.677
160	2594	2600	6.0	0.804
161	2601	2614	7.0	0.776
162	2615	2628	5.0	0.919
163	2629	2640	10.0	2.119
164	2641	2674	4.0	2.609
165	2675	2711	10.0	1.509
