#	start	end	score	density
1	1	54	2.0	0.0
2	55	61	5.0	1.77
3	62	99	2.0	0.201
4	100	113	3.0	0.36
5	114	138	4.0	0.386
6	139	159	5.0	0.538
7	160	172	8.0	0.383
8	173	184	4.0	0.182
9	185	199	9.0	1.048
10	200	224	4.0	0.207
11	225	253	9.0	0.63
12	254	291	4.0	0.201
13	292	342	5.0	0.748
14	343	374	8.0	0.048
15	375	410	6.0	0.144
16	411	419	5.0	0.513
17	420	483	8.0	0.571
18	484	489	9.0	0.135
19	490	557	9.0	0.001
20	558	563	7.0	0.103
21	564	590	3.0	0.565
22	591	597	2.0	0.644
23	598	602	4.0	0.741
24	603	610	2.0	0.339
25	611	623	10.0	0.841
26	624	655	7.0	0.892
27	656	662	4.0	0.496
28	663	679	3.0	0.363
29	680	684	4.0	1.553
30	685	693	6.0	0.899
31	694	700	7.0	0.943
32	701	707	4.0	0.911
33	708	715	4.0	0.897
34	716	730	8.0	0.591
35	731	768	8.0	0.841
36	769	776	3.0	0.609
37	777	797	9.0	0.057
38	798	824	5.0	0.44
39	825	837	2.0	0.669
40	838	842	5.0	1.194
41	843	848	6.0	1.107
42	849	860	6.0	0.266
43	861	873	2.0	0.816
44	874	878	5.0	0.794
45	879	886	6.0	0.727
46	887	903	4.0	0.826
47	904	936	4.0	0.114
48	937	945	2.0	0.569
49	946	964	8.0	0.324
50	965	976	4.0	0.234
51	977	990	7.0	0.435
52	991	998	3.0	1.559
53	999	1012	8.0	0.212
54	1013	1033	3.0	0.205
55	1034	1046	9.0	0.598
56	1047	1083	2.0	1.022
57	1084	1097	3.0	0.077
58	1098	1109	7.0	0.727
59	1110	1123	9.0	0.312
60	1124	1138	8.0	0.728
61	1139	1154	3.0	1.196
62	1155	1159	3.0	0.807
63	1160	1166	5.0	0.974
64	1167	1183	10.0	0.496
