#	start	end	rich in A	type
chr18	1	25	0.41	A
chr18	26	26	nan	B
chr18	27	31	0.52	A
chr18	32	32	nan	B
chr18	33	43	0.45	A
chr18	44	49	0.45	B
chr18	50	56	0.46	A
chr18	57	62	0.48	B
chr18	63	65	0.59	A
chr18	66	66	nan	B
chr18	67	87	0.44	A
chr18	88	91	0.59	B
chr18	92	94	0.58	A
chr18	95	99	0.53	B
chr18	100	119	0.44	A
chr18	120	120	nan	B
chr18	121	123	0.67	A
chr18	124	125	0.91	B
chr18	126	127	0.82	A
chr18	128	129	0.86	B
chr18	130	145	0.46	A
chr18	146	149	0.50	B
chr18	150	150	nan	A
chr18	151	151	nan	B
chr18	152	152	nan	A
chr18	153	153	nan	B
chr18	154	622	0.37	A
chr18	623	623	nan	B
chr18	624	636	0.38	A
chr18	637	637	nan	B
chr18	638	638	nan	A
chr18	639	639	nan	B
chr18	640	641	0.70	A
chr18	642	646	0.43	B
chr18	647	650	0.46	A
chr18	651	651	nan	B
chr18	652	652	nan	A
chr18	653	659	0.40	B
chr18	660	660	nan	A
chr18	661	661	nan	B
chr18	662	685	0.39	A
chr18	686	713	0.37	B
chr18	714	759	0.43	A
chr18	760	760	nan	B
chr18	761	776	0.51	A
chr18	777	781	0.60	B
